numeric_col_1,numeric_col_2,text_in_numeric,mixed_garbage,target_column
10000000000.0,,MALFORMED,invalid,
-10000000000.0,,2.3,invalid,
3.0,,4.6,invalid,
4.5,,6.8999999999999995,invalid,
6.0,,9.2,invalid,
7.5,,11.5,invalid,
9.0,,13.799999999999999,invalid,
10.5,,MALFORMED,invalid,
12.0,,18.4,invalid,
13.5,,20.7,invalid,
,,23.0,invalid,
16.5,,25.299999999999997,invalid,
18.0,,27.599999999999998,invalid,
19.5,,29.9,invalid,
21.0,,MALFORMED,invalid,
22.5,,34.5,invalid,
24.0,,36.8,invalid,
25.5,,39.099999999999994,invalid,
27.0,,41.4,invalid,
28.5,,43.699999999999996,invalid,
,,46.0,invalid,
31.5,,MALFORMED,invalid,
33.0,,50.599999999999994,invalid,
34.5,,52.9,invalid,
36.0,,55.199999999999996,invalid,
37.5,,57.49999999999999,invalid,
39.0,,59.8,invalid,
40.5,,62.099999999999994,invalid,
42.0,,MALFORMED,invalid,
43.5,,66.69999999999999,invalid,
,,69.0,invalid,
46.5,,71.3,invalid,
48.0,,73.6,invalid,
49.5,,75.89999999999999,invalid,
51.0,,78.19999999999999,invalid,
52.5,,MALFORMED,invalid,
54.0,,82.8,invalid,
55.5,,85.1,invalid,
57.0,,87.39999999999999,invalid,
58.5,,89.69999999999999,invalid,
,,92.0,invalid,
61.5,,94.3,invalid,
63.0,,MALFORMED,invalid,
64.5,,98.89999999999999,invalid,
66.0,,101.19999999999999,invalid,
67.5,,103.49999999999999,invalid,
69.0,,105.8,invalid,
70.5,,108.1,invalid,
72.0,,110.39999999999999,invalid,
73.5,,MALFORMED,invalid,
